year,mean_year_in_school_15_to_24_years,growth_rate
1970,5.55,2.76
1971,5.66,2.75
1972,5.77,2.46
1973,5.88,2.28
1974,6,2.07
1975,6.11,1.77
1976,6.23,1.55
1977,6.34,1.36
1978,6.46,1.34
1979,6.58,1.33
1980,6.7,1.25
1981,6.81,1.28
1982,6.93,1.47
1983,7.06,1.44
1984,7.18,1.31
1985,7.3,1.36
1986,7.42,1.49
1987,7.55,1.6
1988,7.67,1.61
1989,7.8,1.53
1990,7.92,1.47
1991,8.05,1.36
1992,8.17,1.23
1993,8.3,1.15
1994,8.43,1.13
1995,8.55,1.09
1996,8.68,1.05
1997,8.8,1.02
1998,8.93,0.96
1999,9.06,0.866
2000,9.19,0.788
2001,9.32,0.726
2002,9.45,0.67
2003,9.58,0.623
2004,9.71,0.594
2005,9.84,0.588
2006,9.97,0.558
2007,10.1,0.522
2008,10.2,0.512
2009,10.4,0.497
2010,10.5,0.483
2011,10.6,0.479
2012,10.8,0.487
2013,10.9,0.494
2014,11.1,0.506
2015,11.2,0.508
