year,India,Indiafd,China,Chinada's
1950,376.33,376325200,554.42,554419275
1950,382.25,382245303,569.61,569611075
1952,388.54,388538620,582.03,582029301
1953,395.16,395160091,592.57,592567861
1954,402.08,402077026,601.97,601971218
1955,409.27,409269055,610.83,610834396
1956,416.73,416728771,619.6,619597547
1957,424.46,424461108,628.55,628551405
1958,432.48,432481663,637.85,637853609
1959,440.81,440813896,647.56,647555963
1960,449.48,449480608,657.69,657686143
1961,458.49,458494963,668.33,668334897
1962,467.85,467852537,679.73,679732315
1963,477.53,477527970,692.28,692280490
1964,487.48,487484535,706.46,706460953
1965,497.7,497702365,722.56,722562183
1966,508.16,508161935,740.75,740745642
1967,518.89,518889779,760.77,760771063
1968,529.97,529967317,782.01,782008729
1969,541.51,541505076,803.58,803577221
1970,553.58,553578513,824.79,824788457
1971,566.22,566224812,845.48,845481578
1972,579.41,579411513,865.69,865686530
1973,593.06,593058926,885.15,885145933
1974,607.05,607050255,903.61,903613538
1975,621.3,621301720,920.95,920945083
1976,635.77,635771734,937.02,937018252
1977,650.49,650485030,951.93,951927444
1978,665.5,665502284,966.04,966039822
1979,680.92,680915804,979.88,979880619
1980,696.78,696783517,993.88,993877310
1981,713.12,713118032,1008,1008000152
1982,729.87,729868013,1022.25,1022253396
1983,746.95,746949067,1037.12,1037123834
1984,764.25,764245202,1053.21,1053210735
1985,781.67,781666671,1070.86,1070863389
1986,799.18,799181436,1090.35,1090348056
1987,816.79,816792741,1111.34,1111341725
1988,834.49,834489322,1132.87,1132866344
1989,852.27,852270034,1153.57,1153565894
1990,870.13,870133480,1172.45,1172445200
1991,888.05,888054875,1189.18,1189183522
1992,906.02,906021106,1204,1204003901
1993,924.06,924057817,1217.13,1217129133
1994,942.2,942204249,1228.99,1228991932
1995,960.48,960482795,1239.94,1239940004
1996,978.89,978893217,1249.98,1249981441
1997,997.41,997405318,1259.07,1259066974
1998,1015.97,1015974042,1267.44,1267441503
1999,1034.54,1034539214,1275.41,1275406699
2000,1053.05,1053050912,1283.2,1283198970
2001,1071.48,1071477855,1290.94,1290937649
2002,1089.81,1089807112,1298.65,1298646577
2003,1108.03,1108027848,1306.34,1306343911
2004,1126.14,1126135777,1314.01,1314007478
2005,1144.12,1144118674,1321.62,1321623490
2006,1161.98,1161977719,1329.21,1329209094
2007,1179.68,1179681239,1336.8,1336800506
2008,1197.15,1197146906,1344.42,1344415227
2009,1214.27,1214270132,1352.07,1352068091
2010,1230.98,1230980691,1359.76,1359755102
2011,1247.24,1247236029,1367.48,1367480264
2012,1263.07,1263065852,1375.2,1375198619
2013,1278.56,1278562207,1382.79,1382793212
2014,1293.86,1293859294,1390.11,1390110388
2015,1309.05,1309053980,1397.03,1397028553
2016,1324.17,1324171354,1403.5,1403500365
2017,1339.18,1339180127,1409.52,1409517397
2018,1354.05,1354051854,1415.05,1415045928
2019,1368.74,1368737513,1420.06,1420062022
2020,1383.2,1383197753,1424.55,1424548266
2021,1397.42,1397423009,1428.48,1428480534
2022,1411.42,1411415296,1431.85,1431849651
2023,1425.16,1425158481,1434.68,1434676116
2024,1438.64,1438635367,1437,1436995094
2025,1451.83,1451829004,1438.84,1438835697
2026,1464.73,1464726099,1440.21,1440205376
2027,1477.31,1477311590,1441.11,1441105792
2028,1489.56,1489564612,1441.56,1441555143
2029,1501.46,1501462374,1441.57,1441574218
2030,1512.99,1512985207,1441.18,1441181813
2031,1524.12,1524123804,1440.39,1440391650
2032,1534.87,1534869174,1439.22,1439215347
2033,1545.2,1545203584,1437.67,1437667004
2034,1555.11,1555108108,1435.76,1435760478
2035,1564.57,1564570223,1433.51,1433508888
2036,1573.58,1573581733,1430.92,1430922498
2037,1582.15,1582146821,1428.01,1428012154
2038,1590.28,1590281887,1424.79,1424791461
2039,1598.01,1598011486,1421.27,1421274537
2040,1605.36,1605355574,1417.47,1417472814
2041,1612.32,1612319846,1413.4,1413396936
2042,1618.91,1618905536,1409.05,1409051555
2043,1625.12,1625123097,1404.43,1404434236
2044,1630.98,1630983670,1399.54,1399538493
2045,1636.5,1636496308,1394.36,1394361025
2046,1641.67,1641666866,1388.91,1388909186
2047,1646.5,1646498484,1383.19,1383191989
2048,1650.99,1650993654,1377.21,1377210270
2049,1655.15,1655153372,1370.96,1370963871
2050,1658.98,1658978162,1364.46,1364456723
